UserTime[s],SysTime[s],memory[Kb]
103.17,0.29,99260 
76.02,0.29,92016
2.50,0.15,54656
2.49,0.13,54556
2.44,0.16,54672
32.16,0.22,68452
24.81,0.18,64668
2.55,0.12,54564
2.44,0.14,54480
2.52,0.12,54564
2.49,0.14,54572
2.44,0.15,54504
2.47,0.16,54572
0.36,0.05,47072
0.52,0.05,47160
0.47,0.05,47200
0.49,0.05,47120
2.55,0.13,54564
2.44,0.13,54508
2.48,0.13,54568
0.44,0.05,47032
0.60,0.07,47032
2.50,0.19,54660
2.46,0.16,54564
2.45,0.14,54660
0.45,0.04,47032
0.57,0.06,47032
6.52,0.18,53144
2.51,0.14,54584
2.43,0.13,54520
2.45,0.14,54612
32.10,0.21,68488
24.75,0.20,64668
6.99,0.18,59612
6.78,0.15,61576
6.97,0.16,59704
6.58,0.16,53128
6.11,0.15,52968
0.56,0.04,47160
2.07,0.15,48656
0.41,0.04,47052
0.39,0.04,47056
1.98,0.17,48492
0.46,0.05,47052
0.61,0.08,47108
0.53,0.04,47120
0.59,0.07,47168
0.58,0.06,47184
0.64,0.06,47072
1.49,0.11,47072
2.53,0.15,54572
2.45,0.15,54508
2.44,0.14,54572
0.53,0.06,47124
0.36,0.05,47032
0.38,0.06,47036
0.40,0.05,47052
0.42,0.06,47060
0.55,0.05,47060
0.50,0.06,47140
0.57,0.05,47088
0.57,0.05,47104
0.48,0.04,47032
0.50,0.06,47036
0.39,0.05,47032
0.40,0.05,47032
0.35,0.05,47036
0.86,0.08,47036
102.27,0.26,99244
76.40,0.27,92004
0.45,0.06,47032
0.60,0.06,47032
2.52,0.14,54572
2.46,0.14,54536
2.49,0.15,54572
2.47,0.15,54652
2.41,0.14,54580
2.50,0.17,54672
0.44,0.05,47032
0.57,0.06,47032
2.49,0.16,54612
2.47,0.15,54524
2.48,0.14,54636
2.52,0.16,54580
2.45,0.16,54524
2.51,0.15,54616
32.16,0.20,68460
24.85,0.21,64664
2.54,0.14,54572
2.44,0.14,54496
2.45,0.15,54572
6.99,0.16,61756
6.75,0.16,61576
7.10,0.15,61800
6.27,0.18,52992
2.54,0.15,54564
2.53,0.14,54500
2.47,0.14,54564
2.51,0.15,54572
2.47,0.15,54520
2.50,0.13,54576
0.46,0.04,47032
0.57,0.07,47032
2.52,0.16,54572
2.49,0.14,54512
2.44,0.12,54572
2.50,0.16,54564
2.54,0.17,54460
2.45,0.12,54564
5.01,0.14,56372
4.84,0.17,54200
4.96,0.14,56404
2.49,0.16,54584
2.39,0.17,54520
2.46,0.13,54612
2.47,0.15,54656
2.44,0.16,54628
2.50,0.16,54664
31.80,0.21,68452
24.53,0.20,64664
2.50,0.15,54572
2.47,0.15,54464
2.45,0.15,54572
2.46,0.15,54612
2.42,0.11,54564
2.48,0.14,54636
2.50,0.15,54488
2.45,0.15,54444
2.46,0.13,54516
6.54,0.17,53132
6.18,0.16,52960
3.70,0.15,53772
3.57,0.14,53612
3.69,0.13,53840
2.48,0.15,54572
2.43,0.15,54512
2.48,0.14,54572
4.91,0.18,56396
4.81,0.15,54184
4.92,0.15,56428
0.52,0.06,47116
0.36,0.04,47028
0.40,0.04,47032
0.38,0.05,47036
0.43,0.04,47060
0.56,0.05,47056
0.50,0.05,47140
0.59,0.05,47088
0.54,0.06,47100
0.45,0.05,47028
0.51,0.05,47032
0.42,0.04,47028
0.40,0.05,47028
0.35,0.05,47032
0.87,0.08,47032
2.51,0.16,54668
2.44,0.13,54624
2.56,0.13,54684
32.13,0.23,68488
24.70,0.21,64668
4.90,0.19,61756
4.78,0.14,59524
4.89,0.17,61800
2.49,0.16,54632
2.52,0.13,54536
2.51,0.16,54636
2.52,0.15,54564
2.38,0.15,54536
2.54,0.13,54564
2.47,0.16,54572
2.43,0.14,54508
2.45,0.14,54572
101.84,0.31,99260
75.57,0.26,92016
2.51,0.17,54656
2.42,0.13,54604
2.44,0.15,54672
32.35,0.22,68460
24.79,0.19,64668
3.75,0.15,52340
3.27,0.17,55016
5.11,0.17,56376
4.84,0.15,54184
4.89,0.15,56408
0.53,0.05,47160
2.08,0.14,48664
0.40,0.04,47028
0.37,0.06,47036
1.97,0.17,48492
0.42,0.06,47032
0.59,0.05,47160
0.48,0.05,47120
0.56,0.06,47168
0.58,0.05,47180
0.61,0.07,47072
1.43,0.11,47072
2.47,0.15,54564
2.55,0.13,54460
2.47,0.15,54564
0.56,0.08,47104
0.35,0.04,47032
0.39,0.04,47044
0.38,0.05,47060
0.43,0.05,47064
0.55,0.05,47068
0.47,0.06,47148
0.54,0.05,47096
0.57,0.05,47116
0.45,0.05,47032
0.50,0.06,47044
0.38,0.06,47032
0.41,0.04,47032
0.36,0.04,47036
0.91,0.09,47044
2.53,0.13,54564
2.47,0.13,54536
2.43,0.13,54568
